champion,lane,role,difficulty,range_type
Aatrox,Top,Fighter,Medium,Short
Ahri,Mid,Mage,Easy,Middle
Akali,Mid,Assassin,Hard,Short
Akshan,Mid,Marksman,Hard,Middle
Alistar,Support,Tank,Easy,Short
Ambessa,Top,Fighter,Medium,Short
Amumu,Jungle,Tank,Easy,Short
Anivia,Mid,Mage,Hard,Far
Annie,Mid,Mage,Easy,Far
Aphelios,ADC,Marksman,Hard,Middle
Ashe,ADC,Marksman,Easy,Far
Aurelion Sol,Mid,Mage,Hard,Far
Aurora,Mid,Mage,Medium,Middle
Azir,Mid,Mage,Hard,Far
Bard,Support,Support,Hard,Middle
Bel'Veth,Jungle,Fighter,Medium,Short
Blitzcrank,Support,Tank,Easy,Short
Brand,Support,Mage,Easy,Far
Braum,Support,Tank,Easy,Short
Briar,Jungle,Fighter,Medium,Short
Caitlyn,ADC,Marksman,Easy,Far
Camille,Top,Fighter,Hard,Short
Cassiopeia,Mid,Mage,Hard,Middle
Cho'Gath,Top,Tank,Easy,Short
Corki,Mid,Marksman,Medium,Middle
Darius,Top,Fighter,Easy,Short
Diana,Jungle,Assassin,Medium,Short
Dr. Mundo,Top,Tank,Easy,Short
Draven,ADC,Marksman,Hard,Middle
Ekko,Jungle,Assassin,Hard,Short
Elise,Jungle,Assassin,Hard,Short
Evelynn,Jungle,Assassin,Medium,Short
Ezreal,ADC,Marksman,Hard,Middle
Fiddlesticks,Jungle,Mage,Medium,Far
Fiora,Top,Fighter,Hard,Short
Fizz,Mid,Assassin,Hard,Short
Galio,Mid,Tank,Easy,Short
Gangplank,Top,Fighter,Hard,Middle
Garen,Top,Tank,Easy,Short
Gnar,Top,Fighter,Medium,Middle
Gragas,Top,Tank,Medium,Short
Graves,Jungle,Marksman,Medium,Short
Gwen,Top,Fighter,Medium,Short
Hecarim,Jungle,Fighter,Medium,Short
Heimerdinger,Mid,Mage,Medium,Far
Hwei,Mid,Mage,Hard,Far
Illaoi,Top,Fighter,Easy,Short
Irelia,Top,Fighter,Hard,Short
Ivern,Jungle,Support,Hard,Far
Janna,Support,Support,Easy,Far
Jarvan IV,Jungle,Tank,Easy,Short
Jax,Top,Fighter,Medium,Short
Jayce,Top,Fighter,Hard,Middle
Jhin,ADC,Marksman,Medium,Far
Jinx,ADC,Marksman,Easy,Far
K'Sante,Top,Tank,Hard,Short
Kai'Sa,ADC,Marksman,Medium,Middle
Kalista,ADC,Marksman,Hard,Middle
Karma,Support,Support,Easy,Far
Karthus,Jungle,Mage,Medium,Far
Kassadin,Mid,Assassin,Hard,Short
Katarina,Mid,Assassin,Hard,Short
Kayle,Top,Marksman,Hard,Far
Kayn,Jungle,Assassin,Hard,Short
Kennen,Top,Mage,Medium,Far
Kha'Zix,Jungle,Assassin,Medium,Short
Kindred,Jungle,Marksman,Hard,Far
Kled,Top,Fighter,Hard,Short
Kog'Maw,ADC,Marksman,Medium,Far
LeBlanc,Mid,Assassin,Hard,Short
Lee Sin,Jungle,Assassin,Hard,Short
Leona,Support,Tank,Easy,Short
Lillia,Jungle,Mage,Medium,Short
Lissandra,Mid,Mage,Easy,Short
Lucian,ADC,Marksman,Hard,Middle
Lulu,Support,Support,Easy,Middle
Lux,Support,Mage,Easy,Far
Malphite,Top,Tank,Easy,Short
Malzahar,Mid,Mage,Easy,Far
Maokai,Support,Tank,Easy,Short
Master Yi,Jungle,Assassin,Easy,Short
Mel,Mid,Mage,Medium,Far
Milio,Support,Support,Easy,Far
Miss Fortune,ADC,Marksman,Easy,Far
Mordekaiser,Top,Fighter,Easy,Short
Morgana,Support,Mage,Easy,Far
Naafiri,Mid,Assassin,Easy,Short
Nami,Support,Support,Medium,Far
Nasus,Top,Fighter,Easy,Short
Nautilus,Support,Tank,Easy,Short
Neeko,Mid,Mage,Medium,Far
Nidalee,Jungle,Assassin,Hard,Far
Nilah,ADC,Marksman,Hard,Short
Nocturne,Jungle,Assassin,Easy,Short
Nunu & Willump,Jungle,Tank,Easy,Short
Olaf,Top,Fighter,Easy,Short
Orianna,Mid,Mage,Hard,Far
Ornn,Top,Tank,Medium,Short
Pantheon,Top,Assassin,Easy,Short
Poppy,Jungle,Tank,Medium,Short
Pyke,Support,Assassin,Hard,Short
Qiyana,Mid,Assassin,Hard,Short
Quinn,Top,Marksman,Medium,Middle
Rakan,Support,Support,Medium,Short
Rammus,Jungle,Tank,Easy,Short
Rek'Sai,Jungle,Assassin,Medium,Short
Rell,Support,Tank,Medium,Short
Renata Glasc,Support,Support,Medium,Far
Renekton,Top,Fighter,Easy,Short
Rengar,Jungle,Assassin,Hard,Short
Riven,Top,Fighter,Hard,Short
Rumble,Top,Mage,Medium,Short
Ryze,Mid,Mage,Hard,Middle
Samira,ADC,Marksman,Hard,Short
Sejuani,Jungle,Tank,Easy,Short
Senna,Support,Marksman,Medium,Far
Seraphine,Support,Mage,Easy,Far
Sett,Top,Fighter,Easy,Short
Shaco,Jungle,Assassin,Hard,Short
Shen,Top,Tank,Easy,Short
Shyvana,Jungle,Fighter,Medium,Short
Singed,Top,Tank,Hard,Short
Sion,Top,Tank,Easy,Short
Sivir,ADC,Marksman,Easy,Middle
Skarner,Jungle,Tank,Easy,Short
Smolder,ADC,Marksman,Medium,Far
Sona,Support,Support,Easy,Far
Soraka,Support,Support,Easy,Far
Swain,Support,Mage,Medium,Far
Sylas,Mid,Assassin,Hard,Short
Syndra,Mid,Mage,Hard,Far
Tahm Kench,Support,Tank,Easy,Short
Taliyah,Jungle,Mage,Hard,Far
Talon,Mid,Assassin,Medium,Short
Taric,Support,Support,Easy,Short
Teemo,Top,Mage,Easy,Far
Thresh,Support,Tank,Hard,Short
Tristana,ADC,Marksman,Medium,Middle
Trundle,Jungle,Tank,Easy,Short
Tryndamere,Top,Fighter,Easy,Short
Twisted Fate,Mid,Mage,Medium,Far
Twitch,ADC,Marksman,Hard,Far
Udyr,Jungle,Fighter,Medium,Short
Urgot,Top,Fighter,Medium,Middle
Varus,ADC,Marksman,Medium,Far
Vayne,ADC,Marksman,Hard,Middle
Veigar,Mid,Mage,Easy,Far
Vel'Koz,Support,Mage,Medium,Far
Vex,Mid,Mage,Easy,Far
Vi,Jungle,Fighter,Easy,Short
Viego,Jungle,Assassin,Medium,Short
Viktor,Mid,Mage,Hard,Far
Vladimir,Top,Mage,Hard,Middle
Volibear,Jungle,Fighter,Easy,Short
Warwick,Jungle,Fighter,Easy,Short
Wukong,Jungle,Fighter,Medium,Short
Xayah,ADC,Marksman,Medium,Middle
Xerath,Support,Mage,Medium,Far
Xin Zhao,Jungle,Fighter,Easy,Short
Yasuo,Mid,Assassin,Hard,Short
Yone,Mid,Assassin,Hard,Short
Yorick,Top,Fighter,Easy,Short
Yuumi,Support,Support,Easy,Far
Zac,Jungle,Tank,Easy,Short
Zed,Mid,Assassin,Hard,Short
Zeri,ADC,Marksman,Hard,Middle
Ziggs,ADC,Mage,Easy,Far
Zilean,Support,Support,Medium,Far
Zoe,Mid,Mage,Hard,Far
Zyra,Support,Mage,Medium,Far
